Player,Squad,Pos,Age,Min,90s,Gls,Ast,TklW,Gls_per90,Ast_per90,xG_per90,npxG_per90,xAG_per90,KP_per90,PrgP_per90,Succ_per90,PrgC_per90,TklW_per90,Int_per90,SCA_per90,GCA_per90,SoT%,Cmp%
Domingos Duarte,Getafe,DF,27,2657,29.5,0,2,18,0.0,0.06779661016949153,0.04406779661016949,0.04406779661016949,0.027118644067796613,0.13559322033898305,2.135593220338983,0.1694915254237288,0.2033898305084746,0.6101694915254238,1.3220338983050848,0.5084745762711864,0.1016949152542373,25.0,77.1
Domingos Quina,Elche,MF,22,275,3.1,0,0,2,0.0,0.0,0.06451612903225806,0.06451612903225806,0.12903225806451613,0.9677419354838709,5.483870967741935,1.6129032258064515,3.8709677419354835,0.6451612903225806,0.9677419354838709,1.9354838709677418,0.0,0.0,83.0
Dominik Greif,Mallorca,GK,25,90,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,60.5
Dyego Sousa,Almería,FW,32,527,5.9,0,1,6,0.0,0.1694915254237288,0.20338983050847456,0.20338983050847456,0.1694915254237288,1.694915254237288,2.711864406779661,0.847457627118644,1.694915254237288,1.0169491525423728,0.1694915254237288,2.3728813559322033,0.1694915254237288,30.8,66.9
Eden Hazard,Real Madrid,FW,31,196,2.2,0,1,0,0.0,0.45454545454545453,0.45454545454545453,0.09090909090909091,0.22727272727272727,3.1818181818181817,3.6363636363636362,0.9090909090909091,2.727272727272727,0.0,0.45454545454545453,7.2727272727272725,0.45454545454545453,0.0,88.9
Edinson Cavani,Valencia,FW,35,1449,16.1,5,2,4,0.3105590062111801,0.12422360248447203,0.37267080745341613,0.22360248447204967,0.10559006211180123,0.7453416149068323,1.2422360248447204,0.24844720496894407,0.49689440993788814,0.24844720496894407,0.12422360248447203,1.4906832298136645,0.24844720496894407,25.8,74.3
Edu Expósito,Espanyol,MF,25,116,12.9,2,2,20,0.15503875968992248,0.15503875968992248,0.06976744186046512,0.06976744186046512,0.18604651162790697,1.7054263565891472,5.5813953488372094,0.8527131782945736,1.4728682170542635,1.5503875968992247,0.9302325581395349,3.488372093023256,0.6976744186046512,36.8,73.4
Eduardo Camavinga,Real Madrid,"MF,DF",19,201,22.3,0,1,48,0.0,0.04484304932735426,0.03587443946188341,0.03587443946188341,0.06726457399103139,1.0762331838565022,7.3991031390134525,1.704035874439462,3.094170403587444,2.1524663677130045,0.7623318385650224,3.2286995515695067,0.22421524663677128,16.7,90.7
El Bilal Touré,Almería,FW,20,1264,14.0,7,2,3,0.5,0.14285714285714285,0.45,0.45,0.09285714285714286,1.0,1.0,0.42857142857142855,1.2857142857142858,0.21428571428571427,0.07142857142857142,2.5714285714285716,0.2857142857142857,48.3,70.9
Enes Ünal,Getafe,FW,25,297,33.0,14,3,14,0.42424242424242425,0.09090909090909091,0.3545454545454545,0.21515151515151515,0.10606060606060606,0.8181818181818182,1.6666666666666667,0.6363636363636364,0.8787878787878788,0.42424242424242425,0.18181818181818182,2.0606060606060606,0.24242424242424243,37.8,59.5
Enzo Roco,Elche,DF,29,1652,18.4,0,0,13,0.0,0.0,0.03260869565217391,0.03260869565217391,0.0,0.05434782608695653,2.2826086956521743,0.16304347826086957,0.32608695652173914,0.7065217391304348,0.923913043478261,0.6521739130434783,0.0,30.0,81.6
Eray Cömert,Valencia,DF,24,1672,18.6,1,0,23,0.05376344086021505,0.0,0.026881720430107524,0.026881720430107524,0.005376344086021505,0.16129032258064516,2.9032258064516125,0.1075268817204301,0.3225806451612903,1.2365591397849462,1.5591397849462365,0.6451612903225806,0.0,60.0,86.2
Eric García,Barcelona,"DF,MF",21,1417,15.7,1,0,16,0.06369426751592357,0.0,0.10191082802547771,0.10191082802547771,0.012738853503184714,0.06369426751592357,6.687898089171975,0.12738853503184713,1.5286624203821657,1.019108280254777,1.2101910828025477,0.6369426751592357,0.0,14.3,90.9
